seed,player,round_in,round_out,rounds_won,rank,ifpa_rating,player_id,points,ratingId,ratingPeriod,matchplay_rating,matchplay_rd
1,Steven Bowden,17,17,0,4,1651.01,166,3.78,1808,2022-10-11,1756,25
2,Escher Lefkoff,16,18,2,3,1943.19,1605,5.55,4321,2022-10-11,1895,25
3,Raymond Davidson,15,15,0,6,1830.56,2576,1.9,238,2022-10-11,1852,25
4,Keith Elwin,14,14,0,7,2061.9,1,1.42,1077,2022-08-21,1849,49
5,Aleksander Kaczmarczyk,13,19,6,2,1931.6,33033,8.38,1326,2022-08-21,1836,39
6,Karl DeAngelo,12,20,8,1,1930.59,5668,15.07,1072,2022-10-11,1858,27
7,Bowen Kerins,11,11,0,10,2015.67,2,0.83,142,2022-10-07,1865,49
8,Lydia Lewis,10,13,3,8,1855.17,37655,1.13,753,2022-10-13,1757,32
9,Andy Rosa,9,9,0,12,1724.49,20,0.68,2343,2022-10-11,1802,25
10,Jim Belsito,8,10,2,11,1875.75,6,0.75,1073,2022-09-28,1871,36
11,Colin MacAlpine,7,8,1,13,1778.73,10903,0.6,2086,2022-10-11,1824,28
12,Brian O'Neill,6,7,1,14,1726.9,19301,0.53,635,2022-10-16,1778,25
13,Andrew Rosa II,5,12,7,9,1879.75,5773,0.94,4289,2022-10-02,1772,43
14,Joe Lemire,4,4,0,17,1862.53,11028,0.3,2164,2022-10-07,1752,29
15,Trent Augenstien,3,3,0,18,1645.91,10,0.23,1435,2022-10-18,1748,25
16,Eric Stone,2,6,4,15,2024.39,90,0.45,3613,2022-09-22,1900,40
17,Jason Werdrick,1,16,15,5,1680.17,26,2.65,1860,2022-10-11,1762,25
18,Zach Sharpe,1,5,4,16,1704.26,9,0.38,1859,2022-10-11,1790,29
19,Luke Nahorniak,1,2,1,19,1734.43,29954,0.15,385,2022-10-11,1795,23
20,Derek Price,1,1,0,20,1689.13,49567,0.08,7452,2022-10-11,1769,24
